fixture,candidate,defender_count,permutations,deterministic,permutation_equal,mismatch_count
axial_1,isotropic,1,1,True,True,0
axial_1,expanding,1,1,True,True,0
axial_1,constant_width,1,1,True,True,0
axial_2,isotropic,1,1,True,True,0
axial_2,expanding,1,1,True,True,0
axial_2,constant_width,1,1,True,True,0
axial_3,isotropic,1,1,True,True,0
axial_3,expanding,1,1,True,True,0
axial_3,constant_width,1,1,True,True,0
axial_4,isotropic,1,1,True,True,0
axial_4,expanding,1,1,True,True,0
axial_4,constant_width,1,1,True,True,0
lateral_x5_y0,isotropic,1,1,True,True,0
lateral_x5_y0,expanding,1,1,True,True,0
lateral_x5_y0,constant_width,1,1,True,True,0
lateral_x5_y1,isotropic,1,1,True,True,0
lateral_x5_y1,expanding,1,1,True,True,0
lateral_x5_y1,constant_width,1,1,True,True,0
lateral_x5_y2,isotropic,1,1,True,True,0
lateral_x5_y2,expanding,1,1,True,True,0
lateral_x5_y2,constant_width,1,1,True,True,0
lateral_x5_y5,isotropic,1,1,True,True,0
lateral_x5_y5,expanding,1,1,True,True,0
lateral_x5_y5,constant_width,1,1,True,True,0
lateral_x10_y0,isotropic,1,1,True,True,0
lateral_x10_y0,expanding,1,1,True,True,0
lateral_x10_y0,constant_width,1,1,True,True,0
lateral_x10_y1,isotropic,1,1,True,True,0
lateral_x10_y1,expanding,1,1,True,True,0
lateral_x10_y1,constant_width,1,1,True,True,0
lateral_x10_y2,isotropic,1,1,True,True,0
lateral_x10_y2,expanding,1,1,True,True,0
lateral_x10_y2,constant_width,1,1,True,True,0
lateral_x10_y5,isotropic,1,1,True,True,0
lateral_x10_y5,expanding,1,1,True,True,0
lateral_x10_y5,constant_width,1,1,True,True,0
lateral_x15_y0,isotropic,1,1,True,True,0
lateral_x15_y0,expanding,1,1,True,True,0
lateral_x15_y0,constant_width,1,1,True,True,0
lateral_x15_y1,isotropic,1,1,True,True,0
lateral_x15_y1,expanding,1,1,True,True,0
lateral_x15_y1,constant_width,1,1,True,True,0
lateral_x15_y2,isotropic,1,1,True,True,0
lateral_x15_y2,expanding,1,1,True,True,0
lateral_x15_y2,constant_width,1,1,True,True,0
lateral_x15_y5,isotropic,1,1,True,True,0
lateral_x15_y5,expanding,1,1,True,True,0
lateral_x15_y5,constant_width,1,1,True,True,0
depth_x4_y0,isotropic,1,1,True,True,0
depth_x4_y0,expanding,1,1,True,True,0
depth_x4_y0,constant_width,1,1,True,True,0
depth_x4_y2,isotropic,1,1,True,True,0
depth_x4_y2,expanding,1,1,True,True,0
depth_x4_y2,constant_width,1,1,True,True,0
depth_x5_y0,isotropic,1,1,True,True,0
depth_x5_y0,expanding,1,1,True,True,0
depth_x5_y0,constant_width,1,1,True,True,0
depth_x5_y2,isotropic,1,1,True,True,0
depth_x5_y2,expanding,1,1,True,True,0
depth_x5_y2,constant_width,1,1,True,True,0
depth_x5.5_y0,isotropic,1,1,True,True,0
depth_x5.5_y0,expanding,1,1,True,True,0
depth_x5.5_y0,constant_width,1,1,True,True,0
depth_x5.5_y2,isotropic,1,1,True,True,0
depth_x5.5_y2,expanding,1,1,True,True,0
depth_x5.5_y2,constant_width,1,1,True,True,0
depth_x6_y0,isotropic,1,1,True,True,0
depth_x6_y0,expanding,1,1,True,True,0
depth_x6_y0,constant_width,1,1,True,True,0
depth_x6_y2,isotropic,1,1,True,True,0
depth_x6_y2,expanding,1,1,True,True,0
depth_x6_y2,constant_width,1,1,True,True,0
depth_x10_y0,isotropic,1,1,True,True,0
depth_x10_y0,expanding,1,1,True,True,0
depth_x10_y0,constant_width,1,1,True,True,0
depth_x10_y2,isotropic,1,1,True,True,0
depth_x10_y2,expanding,1,1,True,True,0
depth_x10_y2,constant_width,1,1,True,True,0
depth_x20_y0,isotropic,1,1,True,True,0
depth_x20_y0,expanding,1,1,True,True,0
depth_x20_y0,constant_width,1,1,True,True,0
depth_x20_y2,isotropic,1,1,True,True,0
depth_x20_y2,expanding,1,1,True,True,0
depth_x20_y2,constant_width,1,1,True,True,0
depth_x40_y0,isotropic,1,1,True,True,0
depth_x40_y0,expanding,1,1,True,True,0
depth_x40_y0,constant_width,1,1,True,True,0
depth_x40_y2,isotropic,1,1,True,True,0
depth_x40_y2,expanding,1,1,True,True,0
depth_x40_y2,constant_width,1,1,True,True,0
equal_minimum_one,isotropic,1,1,True,True,0
equal_minimum_one,expanding,1,1,True,True,0
equal_minimum_one,constant_width,1,1,True,True,0
equal_minimum_three,isotropic,3,6,True,True,0
equal_minimum_three,expanding,3,6,True,True,0
equal_minimum_three,constant_width,3,6,True,True,0
star_edge_1,isotropic,4,24,True,True,0
star_edge_1,expanding,4,24,True,True,0
star_edge_1,constant_width,4,24,True,True,0
star_edge_2,isotropic,4,24,True,True,0
star_edge_2,expanding,4,24,True,True,0
star_edge_2,constant_width,4,24,True,True,0
star_edge_3,isotropic,4,24,True,True,0
star_edge_3,expanding,4,24,True,True,0
star_edge_3,constant_width,4,24,True,True,0
star_edge_4,isotropic,4,24,True,True,0
star_edge_4,expanding,4,24,True,True,0
star_edge_4,constant_width,4,24,True,True,0
