fixture,candidate,bitwise_equal,local_partition_count,ci_partition_count
axial_1,isotropic,True,2,2
axial_1,expanding,True,2,2
axial_1,constant_width,True,2,2
axial_2,isotropic,True,2,2
axial_2,expanding,True,4,4
axial_2,constant_width,True,4,4
axial_3,isotropic,True,2,2
axial_3,expanding,True,2,2
axial_3,constant_width,True,2,2
axial_4,isotropic,True,2,2
axial_4,expanding,True,2,2
axial_4,constant_width,True,2,2
lateral_x5_y0,isotropic,True,2,2
lateral_x5_y0,expanding,True,4,4
lateral_x5_y0,constant_width,True,4,4
lateral_x5_y1,isotropic,True,2,2
lateral_x5_y1,expanding,True,4,4
lateral_x5_y1,constant_width,True,4,4
lateral_x5_y2,isotropic,True,2,2
lateral_x5_y2,expanding,True,4,4
lateral_x5_y2,constant_width,True,4,4
lateral_x5_y5,isotropic,True,2,2
lateral_x5_y5,expanding,True,4,4
lateral_x5_y5,constant_width,True,4,4
lateral_x10_y0,isotropic,True,2,2
lateral_x10_y0,expanding,True,4,4
lateral_x10_y0,constant_width,True,4,4
lateral_x10_y1,isotropic,True,2,2
lateral_x10_y1,expanding,True,4,4
lateral_x10_y1,constant_width,True,4,4
lateral_x10_y2,isotropic,True,2,2
lateral_x10_y2,expanding,True,4,4
lateral_x10_y2,constant_width,True,4,4
lateral_x10_y5,isotropic,True,2,2
lateral_x10_y5,expanding,True,4,4
lateral_x10_y5,constant_width,True,4,4
lateral_x15_y0,isotropic,True,2,2
lateral_x15_y0,expanding,True,4,4
lateral_x15_y0,constant_width,True,4,4
lateral_x15_y1,isotropic,True,2,2
lateral_x15_y1,expanding,True,4,4
lateral_x15_y1,constant_width,True,4,4
lateral_x15_y2,isotropic,True,2,2
lateral_x15_y2,expanding,True,4,4
lateral_x15_y2,constant_width,True,4,4
lateral_x15_y5,isotropic,True,2,2
lateral_x15_y5,expanding,True,4,4
lateral_x15_y5,constant_width,True,4,4
depth_x4_y0,isotropic,True,2,2
depth_x4_y0,expanding,True,2,2
depth_x4_y0,constant_width,True,2,2
depth_x4_y2,isotropic,True,2,2
depth_x4_y2,expanding,True,2,2
depth_x4_y2,constant_width,True,2,2
depth_x5_y0,isotropic,True,2,2
depth_x5_y0,expanding,True,2,2
depth_x5_y0,constant_width,True,2,2
depth_x5_y2,isotropic,True,2,2
depth_x5_y2,expanding,True,2,2
depth_x5_y2,constant_width,True,2,2
depth_x5.5_y0,isotropic,True,2,2
depth_x5.5_y0,expanding,True,3,3
depth_x5.5_y0,constant_width,True,3,3
depth_x5.5_y2,isotropic,True,2,2
depth_x5.5_y2,expanding,True,3,3
depth_x5.5_y2,constant_width,True,3,3
depth_x6_y0,isotropic,True,2,2
depth_x6_y0,expanding,True,3,3
depth_x6_y0,constant_width,True,3,3
depth_x6_y2,isotropic,True,2,2
depth_x6_y2,expanding,True,3,3
depth_x6_y2,constant_width,True,3,3
depth_x10_y0,isotropic,True,2,2
depth_x10_y0,expanding,True,4,4
depth_x10_y0,constant_width,True,4,4
depth_x10_y2,isotropic,True,2,2
depth_x10_y2,expanding,True,4,4
depth_x10_y2,constant_width,True,4,4
depth_x20_y0,isotropic,True,2,2
depth_x20_y0,expanding,True,4,4
depth_x20_y0,constant_width,True,4,4
depth_x20_y2,isotropic,True,2,2
depth_x20_y2,expanding,True,4,4
depth_x20_y2,constant_width,True,4,4
depth_x40_y0,isotropic,True,2,2
depth_x40_y0,expanding,True,4,4
depth_x40_y0,constant_width,True,4,4
depth_x40_y2,isotropic,True,2,2
depth_x40_y2,expanding,True,4,4
depth_x40_y2,constant_width,True,4,4
equal_minimum_one,isotropic,True,2,2
equal_minimum_one,expanding,True,4,4
equal_minimum_one,constant_width,True,4,4
equal_minimum_three,isotropic,True,4,4
equal_minimum_three,expanding,True,10,10
equal_minimum_three,constant_width,True,10,10
star_edge_1,isotropic,True,3,3
star_edge_1,expanding,True,7,7
star_edge_1,constant_width,True,7,7
star_edge_2,isotropic,True,3,3
star_edge_2,expanding,True,6,6
star_edge_2,constant_width,True,6,6
star_edge_3,isotropic,True,3,3
star_edge_3,expanding,True,7,7
star_edge_3,constant_width,True,7,7
star_edge_4,isotropic,False,3,3
star_edge_4,expanding,True,4,4
star_edge_4,constant_width,True,4,4
